City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataram,-8.5833,116.1167,30.45,75,81,81,81,81
1,adamstown,-25.066,-130.1015,22.65,85,39,39,39,39
2,dzuunharaa,48.8523,106.4579,-6.36,79,84,84,84,84
3,chibougamau,49.9168,-74.3659,-19.21,84,100,100,100,100
4,arzgir,45.3728,44.2206,9.74,62,53,53,53,53
5,richards bay,-28.783,32.0377,20.81,81,36,36,36,36
6,puerto natales,-51.7236,-72.4875,1.83,90,44,44,44,44
7,ushuaia,-54.8,-68.3,4.81,81,40,40,40,40
8,yellowknife,62.456,-114.3525,-18.71,84,75,75,75,75
9,avarua,-21.2078,-159.775,26.03,73,75,75,75,75
10,mamadysh,55.7152,51.408,-9.4,99,45,45,45,45
11,aasiaat,68.7098,-52.8699,-13.02,85,33,33,33,33
12,carutapera,-1.195,-46.02,25.93,85,100,100,100,100
13,longyearbyen,78.2186,15.6401,-7.09,79,75,75,75,75
14,boguchany,58.3814,97.4531,-6.19,97,100,100,100,100
15,papatowai,-46.5619,169.4708,12.68,52,7,7,7,7
16,labrador city,52.9463,-66.9114,-28.05,76,20,20,20,20
17,edinburgh of the seven seas,-37.0676,-12.3116,13.74,77,100,100,100,100
18,guajara mirim,-10.7828,-65.3394,23.84,90,62,62,62,62
19,kapuskasing,49.4169,-82.4331,-10.95,92,40,40,40,40
20,sao joaquim,-28.2939,-49.9317,16.32,97,100,100,100,100
21,grytviken,-54.2811,-36.5092,2.42,80,61,61,61,61
22,phongsali,21.6833,102.1058,17.07,88,100,100,100,100
23,talnakh,69.4865,88.3972,-32.79,91,14,14,14,14
24,nemuro,43.3236,145.575,4.72,55,15,15,15,15
25,basco,20.4487,121.9702,25.62,82,45,45,45,45
26,saint-joseph,-21.3667,55.6167,25.82,85,83,83,83,83
27,broken hill,-31.95,141.4333,27.07,23,6,6,6,6
28,atafu village,-8.5421,-172.5159,28.1,73,98,98,98,98
29,abashiri,44.0213,144.2697,3.16,52,75,75,75,75
30,dudinka,69.4058,86.1778,-28.92,90,17,17,17,17
31,colonia,50.9333,6.95,2.12,83,75,75,75,75
32,bethel,41.3712,-73.414,8.84,88,100,100,100,100
33,revda,56.801,59.9303,-12.64,93,100,100,100,100
34,nizhyn,51.048,31.8869,0.68,100,100,100,100,100
35,ifanadiana,-21.3,47.6333,17.76,90,92,92,92,92
36,waitangi,-43.9535,-176.5597,16.01,86,100,100,100,100
37,okhotsk,59.3833,143.3,-29.82,86,58,58,58,58
38,uttar char fasson,22.2332,90.7132,25.3,63,65,65,65,65
39,salalah,17.0151,54.0924,25.05,57,0,0,0,0
40,udachny,66.4167,112.4,-40.23,100,97,97,97,97
41,badger,64.8,-147.5333,-21.07,83,20,20,20,20
42,ati,13.2154,18.3353,22.72,16,25,25,25,25
43,bria,6.5423,21.9863,21.32,92,72,72,72,72
44,port elizabeth,-33.918,25.5701,19.62,92,20,20,20,20
45,tomatlan,19.9333,-105.25,22.32,73,100,100,100,100
46,petropavlovsk-kamchatsky,53.0452,158.6483,-7.53,76,75,75,75,75
47,port-aux-francais,-49.35,70.2167,5.55,87,75,75,75,75
48,san patricio,28.017,-97.5169,17.92,60,100,100,100,100
49,weno,7.4515,151.8468,31.97,66,75,75,75,75
50,nicoya,10.1483,-85.452,23.33,90,8,8,8,8
51,dolbeau-mistassini,48.8763,-72.212,-10.64,93,9,9,9,9
52,lihue,21.9789,-159.3672,25.77,81,20,20,20,20
53,albany,42.6001,-73.9662,6.88,93,100,100,100,100
54,priozersk,61.0393,30.1291,-8.36,85,100,100,100,100
55,lompoc,34.6391,-120.4579,14.4,84,0,0,0,0
56,mahanoro,-19.9,48.8,21.1,89,100,100,100,100
57,torghay,49.6339,63.4981,0.79,75,100,100,100,100
58,iqaluit,63.7506,-68.5145,-5.15,63,75,75,75,75
59,vadamadurai,10.4667,78.0833,25.88,78,100,100,100,100
60,haiku-pauwela,20.9219,-156.3051,26.01,74,20,20,20,20
61,quang ngai,15.1167,108.8,24.92,92,100,100,100,100
62,ust-tsilma,65.441,52.1498,-10.77,98,100,100,100,100
63,sept-iles,50.2001,-66.3821,-7.0,85,20,20,20,20
64,hadibu,12.65,54.0333,25.36,74,100,100,100,100
65,anadyr,64.75,177.4833,-18.72,84,20,20,20,20
66,minas de marcona,-15.2119,-75.1103,14.04,86,61,61,61,61
67,trujillo,-8.116,-79.03,19.98,83,75,75,75,75
68,cidreira,-30.1811,-50.2056,21.88,96,100,100,100,100
69,georgetown,5.4112,100.3354,30.96,72,20,20,20,20
70,yermentau,51.6214,73.1069,1.95,97,100,100,100,100
71,utrik,11.2278,169.8474,27.2,75,63,63,63,63
72,dwarka,22.2394,68.9678,24.93,58,0,0,0,0
73,tiksi,71.6872,128.8694,-25.63,99,100,100,100,100
74,fort mcmurray,56.7268,-111.381,-12.27,92,0,0,0,0
75,bredasdorp,-34.5322,20.0403,16.2,72,85,85,85,85
76,whitehorse,60.7161,-135.0538,-11.57,92,75,75,75,75
77,junqueiro,-9.9253,-36.4758,22.18,91,67,67,67,67
78,durg,21.1833,81.2833,24.1,49,96,96,96,96
79,nar'yan-mar,67.6713,53.087,-12.72,94,100,100,100,100
80,hermanus,-34.4187,19.2345,16.97,70,86,86,86,86
81,enewetak,11.3474,162.3373,27.85,77,96,96,96,96
82,invercargill,-46.4,168.35,11.78,55,5,5,5,5
83,grand falls-windsor,48.9332,-55.6649,-1.94,93,100,100,100,100
84,chonchi,-42.6128,-73.8092,5.62,96,17,17,17,17
85,lazaro cardenas,17.9583,-102.2,25.44,74,85,85,85,85
86,jamestown,42.097,-79.2353,6.37,100,100,100,100,100
87,batie,9.8833,-2.9167,25.18,27,70,70,70,70
88,laguna,38.421,-121.4238,14.16,83,100,100,100,100
89,mount pearl,47.5166,-52.7813,2.3,94,75,75,75,75
90,barcelos,41.5388,-8.6151,8.25,82,51,51,51,51
91,rumbek,6.802,29.6912,26.54,56,73,73,73,73
92,west island,-12.1568,96.8225,27.99,61,66,66,66,66
93,vorgashor,67.5833,63.95,-24.58,98,64,64,64,64
94,port mathurin,-19.6833,63.4167,25.78,84,85,85,85,85
95,olonkinbyen,70.9221,-8.7187,-0.04,97,89,89,89,89
